"T ABLE XXXIII—METEOROLOGICAL LOG OF S.Y. "" NIMROD,"" VOYAGE II. 1ST DECEMBER, 1908, TO 25TH MARCH, 1909."								
Time		Barometer	Temperature			Wind		"Position, Maximum and Minimum Temperature, Remarks, &c."
	24	29.48	44.2	41.5		SW x S	2-3	"Max. 46.2° F, Min. 43.2° F. Fine; clear; passing Cu."
8	4	29.51	43.2	41.0		SSW	3	Fine; W swell.
	8	29.58	44.0	43.8		SSW	2	Confused swell from WSW.
	12	29.62	46.0	45.0		SW	1	"50° 59' S, 175° 12' E."
	16	29.60	47.8	43.0		SW	2	SW swell.
	20	29.58	43.2	40.0		SW	2	18.00; passing showers.
	24	29.63	43.0	39.5		SSE	3	"Max. 49.0° F, Min. 42.0° F. Clear blue sky."
9	4	29.63	42.5	38.5		5 x E	3	Fine; clear.
	8	29.60	43.0	40.0		SE x S	3	
	12	29.58	44.0	40.0		ESE	3-4	"51° 17' S, 174° 44' E. Weather same."
	16	29.52	42.8	39.9		ESE	4	Fine.
	20	29.47	43.0	38.2		ESE	5	Mod. sea. 18.00; rain showers.
	24	29.45	43.0	39.0		E x S	5	"Max. 44.5° F, Min. 41.2° F. Cloudy; light showers."
10	4	29.36	42.8	38.2		E x S	6	Clear. Rough sea.
	8	29.34				E x S	6	
	12	29.35				E	6	"53° 16' S, 173° 00' E. High sea."
	16	29.30	43.0	39.5		E	6	High sea.
	20	29.32	42.0	40.5		E	6	High sea.
	24	29.30	42.8	41.6		E	6	"Max. 45.0° F, Min. 41.8° F. Overcast; strong wind; considerable sea; continuous fine rain."
11	4	29.28	42.8	41.8		NE	5	Dull; cloudy. Rain at intervals.
	8	29.29	43.6	42.3		E x N	5	Continuous rain. Rough sea.
	12	29.31	43.8	42.6		E x N	6	"55° 10' S, 172° 54' E. Rough sea."
	16	29.37	43.6	42.0		E	6	Overcast; high sea.
	20	29.42	44.0	42.0		E	4-5	Dull.
	24	29.54	43.0	42.0		E	3	"Max. 44.0° F, Min. 41.8° F. Occasional rain."
12	4	29.60	42.0	42.0		E	4	Continuous drizzling rain.
	8	29.67	42.8	41.6		E	2	Unsteady wind. Showery.
	12	29.71	43.5	42.9		ENE	2	"56° 32' S, 173° 09' E. Overcast. Heavy swell."
	16	29.72	44.0	42.5		NE	0-1	Overcast.
	20	29.76	43.0	41.2		Calm		
	24	29.79	41.6	41.5		Calm		"Max. 45.0° F, Min. 41.0° F. Overcast; fine rain. SE swell."
13	4	29.79	42.6	41.8		Calm		Fine rain.
	8	29.80	43.0	42.1		NW	1	
	12	29.84	45.1	43.8		NW	1-2	"57° 12' S, 173° 28' E. Overcast; dull; fine."
	16	29.86	45.5	44.0		NW	2	Confused swell.
	20	29.85	43.6	42.7		NNW	2	
	24	29.82	43.0	42.5		NW	2	"Max. 45.5° F, Min. 41.5° F. Overcast; fine rain."
14	4	29.80	43.5	42.8		WNW	3	Light rain.
	8	29.78	43.7			WNW	4	Fine.
	12	29.75	43.9	41.9		WNW	4	"58° 13' S, 174° 11' E. Cloudy; dull."
	16	29.69	43.5	43.0		NNE	5	Overcast; fine rain.
	20	29.66	43.5	43.0		NNE	5	
	24	29.66	42.2	42.0		NNE	5	"Max. 45.8° F, Min. 41.8° F. Fine rain. Mod. sea."
15	4	29.64	42.0	41.8		NNW	5	Continuous drizzling rain.
	8	29.63	41.2	41.0		NNW	4	Overcast; passing showers.
	12	29.61	41.8	41.2		NNW	4	"59° 33' S, 176° 05' E. Hazy."
	16	29.59	41.0	41.0	40.1	NNW	4-5	Thick.
	20	29.57	41.0	40.8	40.0	NNW	4-5	Hazy.
	24	29.56	40.8	40.8	40.0	NNW	4-5	"Max. 42.2° F, Min. 40.0° F. Becoming thick."
16	4	29.52	40.0	40.0	39.7	NNW	5	Damp air. Dense fog at 02.00 hrs.
	8	29.51	40.2	40.2	40.0	NNW	4	
	12	29.50	39.8	39.8	40.0	NNW	4	"60° 22' S, 177° 06' E. Overcast; misty."
	16	29.47	39.0	39.0	39.0	NW	4	Thick fog at intervals.
	20	29.43	38.4	38.2	39.0	NW	3	Thick fog.
	24	29.44	39.0	38.7	39.0	NW	3	"Max. 41.8° F, Min. 39.8° F. Weather clearing."
17	4	29.39	38.5	38.1	39.0	NNW	4	Overcast; light drizzling rain.
	8	29.46	37.5	37.2	39.0	W	4	
	12	29.51	38.0	37.0	39.0	W	4	"61° 51' S, 179° 27' E. Overcast. Mod. NW sea."
	16	29.46	37.0	36.5	38.5	WSW	4	Short westerly sea.
	20	29.46	37.0	37.0	38.0	WSW	4	Fine. High NW sea.
	24	29.48	36.0	36.0	38.0	N x W	2	"Max. 38.9° F, Min. 36.0° F. Overcast."
18	4	29.37	36.7	36.5	37.9	N x W	2	Continuous rain; confused swell.
	8	29.30	37.2	37.0		N x W	2	Continuous rain.
	12	29.23	37.0	36.8		N	2	"63° 02' S, 179° 50' W. Overcast; drizzling rain. NW swell and sea."
	16	29.15	37.3	36.9	37.0	N x W	2	Dense fog since 13.50. Sea smooth.
	20	29.11	37.0	37.0		N x W	2	
	24	29.12	36.7	36.3	38.8	NNW	3-4	"Max. 38.8° F, Min. 35.5° F. Overcast; hazy. Fog cleared 21.00 hrs."
19	4	29.06	35.5	35.5		NW x N	4	Dense fog since 01.00 hrs.
	8	29.07	36.2	36.0	36.0	NW x N	4	
	12	29.10	33.0	32.0		NW x W	4	"64° 23' S, 178° 40' W. Light snow. Fog cleared 09.00 hrs."
	16	29.09	33.0	31.2	33.8	NW x W	4-5	Snow squalls.
	20	29.09	32.0	30.0	32.0	NW x W	5	
	24	29.04	31.0	30.2	33.0	W x N	6	"Max. 43.0° F, Min. 29.9° F. Fine; westerly sea."
20	4	29.00	30.9	30.9	32.0	WNW	5	"Occasional squalls; overcast; rough sea. 029.15; sighted first ice, a small water wasted berg."
	8	28.97	30.2	30.0	32.0	WNW	4	"04.30; observed several detached pieces of ice, outposts of the pack. 06.45; observed ice all round S horizon. 08.00; in brash and rotten ice."
	12	29.00	29.6	29.6	31.0	W	4	"66° 30' S, 178° 27' W. Passing through pack. Large pieces of flat ice about 2 ft. out of water. Considerable sea outside pack; 5 miles within it only a long rolling swell. Strong ice blink to E."
	16	29.08	31.0	30.2	30.0	WSW	4	Occasional snow. Steaming through pack. Much worn bergs marooned in pack.
	20	29.17	30.0	29.0		SW	3	Puffy wind. Pack thicker. Four bergs of moderate size in sight.
	24	29.30	29.6	29.0	31.0	SSW	5	"Max. 32.0° F, Min. 28.8° F. Overcast. In pack."
21	4	29.42	28.2	27.0		SSW	5	Sailing through pack.
	8	29.52	30.0	29.2		SSW	5	
	12	29.61	31.0	30.2		SSW	4-5	"66° 59' S, 177° 24' W. Overcast. Fairly thick pack."
	16	29.68	30.9	30.5		SW	4	Firmer pack.
	20	29.67	30.2	30.0		WSW	4	Loose pack.
	24	29.73	30.2	30.0		SW x W	4	"Max. 32.3° F, Min. 27.0° F. Passing loose pieces of brash."
								"Steaming throughout day in loose and rotten pack, with lanes and pools of open water at intervals. During afternoon pack became much looser and a southerly swell noticeable, with a water sky to S. 20.30; cleared pack; streams of brash at intervals. Notable absence of bergs."
22	4	29.65	29.8	29.2		WSW	4	Occasional streams of loose brash. Southerly swell.
	8	29.62	29.6	29.3		WSW	3	Occasional streams of loose brash. Southerly swell.
	12	29.58	30.0	29.9	30.0	SW	3	"68° 20' S, 175° 23' W. Fine. No ice."
	16	29.53	30.1	30.0	29.8	SW	2	No ice.
	20	29.57	29.9	29.0		SSW	4	No ice.
	24	29.61	29.0	28.5	29.0	SSW	5	"Max. 31.0° F, Min. 28.5° F. Overcast. S swell."
23	4	29.68	29.3	29.0		SSW	5	Dull; cloudy. No ice.
	8	29.77	28.9	28.5		SSW	3	
	12	29.79	29.5	29.2		S x W	2	"68° 34' S, 175° 58' W. Occasional streams of loose brash."
	16	29.83	30.0	29.5		SW x S	3	Fine; clear. No ice in sight.
	20	29.82	28.0	27.3		SW	3	
	24	29.78	28.0	27.9		W x N	4	"Max. 31.0° F, Min. 27.0° F. Overcast; fine. No ice."
24	4	29.66	26.8	26.4	28.0	W	4	02.00; passed a small berg.
	8	29.53	29.8	29.3		W x S	4	Overcast; dull. No ice.
	12	29.51	29.9	29.2	29.0	SW	3	"69° 42' S, 174° 44' W. Overcast. No ice."
	16	29.37	29.5	28.8		SW x W	3	Fine. No ice.
	20	29.44	30.0	29.8		SW	3	Cloudy. No ice.
	24	29.40	29.2	29.0	30.0	S x W	1	"Max. 30.5° F., Min. 26.0° F. Fine. S swell. Open sea."
25	4	29.39	29.0	28.2	29.5	S x W	2	No ice.
	8	29.37	29.6	29.0		S	2	Cloudy. S swell.
	12	29.34	31.9	31.0	30.0	S x E	2	"70° 00' S, 174° 26' W. Fine; clear."
	16	29.32	31.0	30.7	30.0	SW x S	1	No ice.
	20	29.31	30.0	29.8		W x S	2	Fine; clear.
	24	29.25	28.9	28.6	30.0	SW	4	"Max. 32.0° F, Min. 28.2° F. Overcast. SW swell."
26	4	29.26	29.3	28.8	29.0	SW x S	3	Fine; clear. Ice blink to E.
	8	29.29	31.0	30.0		SSW	2	06.30; passing snow squall.
	12	29.36	29.2	29.0		S	3	"70° 42' S, 173° 04' W. 09.00; passing detached pieces of loose brash. Lines of loose pack visible all round S horizon, heaviest to E. 10.00; passing through lines of water worn pack."
	16	29.38	30.8	30.7		SW	3	"Overcast. Lines of pack becoming wider, but no heavy ice or bergs."
	20	29.42	30.5	30.0		SSW	3	Passing detached streams of pack; strong blink to E. 18.00; hummocky pack to port. 19.00; stretch of open water.
	24	29.44	29.9	29.6	30.0	SSW	4	"Max. 33.0° F, Min. 27.2° F. Cloudy. Patches of water worn pack."
27	4	29.43	29.0	29.0		SSW	4	Frequent snow squalls. Passing patches of loose and much water worn pack. No bergs.
	8	29.45	29.8	29.5		SSW	4	Snow squalls. Strong blink to SE.
	12	29.47	32.0	31.6		SSW	2	"72° 08' S, 173° 01' W. Cloudy. Pack heavier and hummocky."
	16	29.48	32.4	32.0		SSW	2	"14.00; brought up by heavy, hummocky pack showing signs of pressure."
	20	29.51	31.0	30.2		SSW	2	Fine; clear. Fast in pack; drifting to NW.
	24	29.55	29.9	29.3		SSW	3	"Max. 35.0° F., Min. 28.4° F. Overcast. Working through loose pack."
28	2	29.55	29.5	29.0		SW x S	3	Hummocky pack. No bergs.
	4	29.55	29.5	29.2		SSW	3	03.40; cleared pack.
	6	29.58	30.5	29.8		SSW	3	Steaming S along edge of hummocky pack extending to E as far as eye could see. Strong blink of curious greenish tinge to SW.
	8		32.2	31.0		SSW	3	
	10	29.60	32.0	31.2		S x W	3	"Passing detached pieces of floe ice, heavier than the pack. Pack trending to SE."
	12	29.59	32.0	31.2		S x W	3	"72° 32' S, 173° 45' W. Fine; clear. Ice blink to E. Pack not visible; no bergs."
	14	29.58	31.1	30.8		SSW	3	Passing spurs extending westward from main pack.
	16	29.58	31.0	31.0		SSW	3	Fine; clear. Patches of pack; no bergs. Strong blink to E. Smooth sea.
	18	29.54	30.0	30.0		WSW	2	W swell.
	20		29.9	29.3		WSW	2	"From 19.00 hrs., open water, no ice."
	22	29.53	29.6	29.0		SW x W	2	"Overcast, open water, no ice."
	24	29.53	29.9	29.5		SW	2	"Max. 33.2° F, Min. 29.0° F. No ice visible."
29	2	29.53	29.6	29.0		SW	3	Swell from SW. 00.10; light snow fall. No ice in sight.
	4	29.48	30.3	30.1		SW	3	
	6	29.53	30.0	30.0		SW x W	1	Light snow. No ice in sight.
	8	29.52	30.2	29.9		SW x W	1	Pack visible to E.
	10	29.52						Fine.
	12	29.52	30.9	30.0		SW x W	2	"74° 01' S, 174° 35' W. Fine. Occasional pieces of floe."
	14	29.51	30.8	30.4		WSW	3	Fine; clear. Passing patches of hummocky pack.
	16	29.47	31.8	30.0		SSW	3	
	18	29.48	32.0	31.5		W x S	2	
	20	29.48	30.6	30.0		W	2	
	22	29.46	30.5	30.2		W	2	Passing lines of pack.
	24	29.46	30.6	30.2		W	2	"Max. 33.2° F, Min. 29.0° F. No bergs seen during day. Blink to E."
30	2	29.45	30.5	30.0		W	3	Passing patches of pack.
	4	29.44	29.8	29.0		W	3	02.30; passed into open water; no more ice sighted during day.
	6	29.39	29.8	29.3		W	3	Fine. Swell from W.
	8	29.34	31.0	29.9		W	3	
	10	29.32	31.8	32.0		W	4	
	12	29.32	32.5	32.2		W	4	"75° 22' S, 176° 45' W. Cloudy."
	14	29.32	30.8	30.3	30.0	SW	4	
	16	29.28	29.3	28.8		S	3	Overcast.
	18	29.29	28.5	28.0		S x E	1	Snow falling.
	20	29.32	29.0	29.0		Calm		
	22	29.31	29.6	29.0		S	1	
	24	29.31	27.8	27.0		S	2	"Max. 33.0° F, Min. 27.0° F. Passing snow squalls."
31	2	29.30	27.9	27.5		SSW	2	Occasional snow squalls.
	4	29.29	28.1	27.8		SW	2	
	6	29.28	28.8	28.1		SW	2	
	8	29.27	29.9	29.6		SW x W	3	Heavy snow squalls.
	10	29.26	29.1	28.9		SW x W	3	Passing snow squalls.
	12	29.26	33.2	32.0	31.0	SW x W	3	"76° 04' S, 179° 32' E. Cloudy."
	14	29.25	30.1	30.1		SW x W	3	
	16	29.24	29.0	28.5		SW x W	2	Fine; occasional snow squalls. Calm sea.
	18	29.22	27.8	27.2		WSW	2	
	20	29.25	27.0	26.0		WSW	2	Unsteady breeze. Fine.
	22	29.25	26.2	26.0		SW	2	
	24	29.25	26.5	25.6		SW	2	"Max. 34.0° F, Min. 26' 0° F. Cloudy. No ice seen during day."
"January, 1909"								
1	2	29.26	26.5	25.5		SW	1	Fine; clear. Smooth sea.
	4	29.24	24.9	24.8		SW	1	Overcast.
	6	29.24	25.0	24.8		SSW	2	
	8	29.27	24.0	23.9		SSW	2	Cloudy. Smooth sea.
	10	29.27	25.2	25.0		S	1	
	12	29.28	27.0	26.5		S	1	"76° 43' S, 170° 31' E. Cloudy. 11.15; observed mirage of Barrier."
	14	29.28	26.5	26.0		Calm		Summits of Erebus and Terror visible above clouds.
	16	29.29	26.3	26.0		Calm		Fine; clear.
	18	29.30				Calm		"17.32; arrived at edge of heavy pack extending in N and S direction, 6 miles E of Beaufort Island."
	20	29.32	25.8	25.5		Calm		"19.10; entered pack, which proved too heavy for progress southwards. Returned to open water."
	22	29.31				Calm		
	24	29.31				Calm		"Max. 29.8° F, Min. 23° F."
2	2	29.30	23.3	23.1	29.0	W x N	1	Current 300 ft. below surface trending westerly.
	4	29.30	23.5	23.2		Calm		Land obscured by haze.
	6	29.30	23.0	21.8		Calm		
	8	29.29	25.2	24.8		Calm		
	10	29.30				N	2	08.30; cast off from floe and proceeded through lanes in pack towards McMurdo Sound.
	12	29.30	25.2	24.8		N	2	"77° 03' S, 167° 04' E."
	14	29.30	25.2	24.6		Calm		Anchored to ice face at 12.45.
	16	29.32	25.6	25.0		Calm		
	24	29.30	26.2	26.0		S	1	"Max. 26.8° F, Min. 22.9° F. Overcast; fine."
3	2	29.28	25.7	25.4	29.0	NNE	1	Fast to ice 8 ft. thick.
	4	29.28	25.0	25.0		NNE	2	
	6	29.28	26.8	26.2		NNE	2	
	10	29.26	29.0	29.5				
	12	29.25	30.5	30.0	29.0	NE x E	2	"77° 05' S, 166° 26' E."
	14	29.25	31.1	30.0		NE x E	2	Ice setting into Sound.
	16	29.21	33.0	31.9		ENE	2	"Summit of Erebus visible, smoke moving from NE."
	18	29.20	33.0	31.8		ENE	2	
	22	29.19	30.0	29.5		Calm		
	24	29.19	30.0	29.5	29.0	Calm		"Max. 34.0° F, Min. 25.0° F. Fine; clear."
4	2	29.18	31.0	30.0		NE x N	4	Wind just freshened.
	4	29.18	31.5	30.0		Var.	1-4	02.30; wind shifted to S.
	6	29.16	31.0	30.7		E	3	Wind puffy. Drifting with ice to SW.
	8	29.17	31.0	30.5		E	3	
	12	29.18				W	3	"77° 14' S, 166° 00' E."
	14	29.24	25.0	24.0		W	3	
	16	29.24	31.5	30.5		Var.	0-2	14.30; broke adrift. Steamed through pack towards Cape Royds.
	18	29.28	27.0	26.8		8	2	
	20	29.30	29.0	28.9		S	2	19.00; pack became thicker; made fast to floe.
	24	29.34				Calm		"Max. 33.5° F, Min. 24.0° F. Wind unsteady; clearer; Western Mountains visible."
5	2	29.36	25.0	25.0		SW	1	
	4	29.39	25.2	25.0	30.0	SW	1	02.00-03.00; proceeding through lanes in pack towards Cape Royds.
	6	29.41	25.8	25.8		Var.	0-1	Cloudy.
	8	29.41				NNW	2	Again commenced to steam through pack.
	12	29.41				NNW	1-2	"77° 25' S, 166° 05' E. Fine; clear."
	14	29.41				N	3	
	18	29.40	36.5	34.0				Arrived at Cape Royds at 17.00 hrs. 17.20; proceeded S and anchored in pack 4 miles S of Cape Royds. Experienced heavy pressure from large sheet of pack travelling N at about 1 knot per hour. Returned to Cape Royds.
	24	29.39						"Max. 37° F, Min. 24° F. (approx.)."
6	2	29.39	31.0	30.5		N	1	Ice drifting into bay.
	4	29.38	31.0	30.5		N	1	Fine; clear. Ice all round.
	6	29.38	28.8	28.8		N	1	Fine; clear.
	8	29.36	27.2	27.0		S	1	
	12	29.36	32.0	31.5		SE	3	"Anchored to ice at Cape Royds. 77° 34' S, 166° 09' E."
	14	29.34	29.0	29.0		SE	3	
	16	29.34	33.0	32.0		SE	2	Ice drifting out.
	18	29.32	30.0	29.8		SE	2	
	20	29.31	26.2	27.8		SE	3	
	22	29.30	23.0	21.0		SE	3	
	24	29.29	22.0	21.0		SE	4	"Max. 34.0° F, Min. 21.0° F. Clouds gathering in 5; wind freshening."
7	2	29.29	21.0	21.0		S x E	4	
	4	29.29	19.5	19.5		S x E	4	Mt. Discovery and Western Mountains obscured. Ice drifting N.
	6	29.29	20.0	19.8		S x E	4	Ice slowly drifting N.
	8	29.28	21.0	21.0		S x E	4	"Left ice foot, going N along coast."
	10	29.31	27.7	27.3		S x E	4	Steaming through heavy floes; progress slow.
	12	29.30				S x E	4	
	14	29.30	29.0	28.7		Calm		Light snow falling. 13.00; stopped by heavy pack.
	16	29.30	29.5	29.0		Calm		Weather cleared.
	18	29.27	25.8	25.5		N	1-2	"77° 30' S, 166° 00' E. (approx.)."
	20	29.25	26.0	25.8		NNE	2	"19.00; lanes opening in pack, proceeded towards land. Pack drifting slowly inshore."
	22	29.20				NNE	3-4	"Battling against pack, which was driving vessel ashore."
	24	29.16	26.0	26.0		NNE	3	"Max. 30.5° F, Min. 19.5° F. Having cleared land, anchored to floe."
8	2	29.13	25.5	25.0		NNE	2	
	4	29.08	26.8	26.0		NNE	2-3	Unsteady wind. Ship fast in pack.
	6	29.03	29.0	28.5		NNE	4	Thick snow at intervals. Drifting slowly AV with pack.
	8	29.00	31.8	30.6		Calm		
	12	28.94	32.2	31.6		N	3	"77° 30' S, 166° 00' E. (approx.). Conditions same."
	14	28.91	31.2	30.5		N	2	
	16	28.90	33.2	32.5		N	1	Wind veering slowly westwards. Surface current setting SE.
	18	28.91	34.0	33.5		NW	2	Heavy pressure at fast ice S of Cape Royds.
	20	28.92	32.0	31.5		NW	3	
	22	28.88	29.0	26.5		NNW	3	
	24	28.88	30.0	30.0		N	1	"Max. 35.0° F, Min. 25.3° F. No change in ice conditions."
9	2	28.95	25.0	25.0		Calm		Ice conditions same.
	4	28.98	18.5	18.5		ESE	3	Wind freshened from ESE.
	6	29.03	23.2	23.0		SE	3-4	Pack drifting N; broke free at 04.30.
	8	29.03	26.0	25.2		SE	5	Drifting to W.
	10	29.06	25.0	24.5		SSE	5	Fast in pack.
	12	29.08	25.0	25.0		SSE	5	"77° 25' S, 165° 30' E (approx.). Drifting to W."
	14	29.09	26.0	25.5		SE x S	6	
	16	29.11	27.0	26.8		SE x S	1	Wind dropped.
	18	29.11	24.9	24.5		SSE	4	Puffy wind.
	20	29.15	24.0	23.8		SSE	4	Ship drifting to W. Thick pack.
	22	29.16	24.0	24.0		S	1	
	24	29.16	25.0	24.0		S	1	"Snowing; land obscured. Snow commenced at 23.40. Max. 30.0° F, Min. 18.2° F."
10	2	29.16	23.0	22.5		S	1	"Heavy, continuous snow."
	4	29.16	22.5	22.5	29.0	S	1	
	6	29.13	25.5	24.8		Calm		Forcing through lanes to eastward.
	8	29.12	26.9	26.3		Calm		Snowfall 10.5 inches.
	10	29.12	29.0	28.0		SE	2	Snow ceased; fall 11.5 inches.
	12	29.13	25.0	25.0		SE	2	"77° 13' S, 164° 33' E. Overcast. Fast in pack."
	14	29.14	24.0	23.8		SE	4	
	16	29.14	24.0	23.8		SE	3	
	18	29.15	25.4	25.2		SE	3	
	20	29.16	22.8	22.4		SE	2	Puffy wind.
	24	29.16	16.0	17.0		SE	2	"Max. 29.0° F, Min. 16.0° F."
11	2	29.14	17.0	16.5		W x N	2	In pack; progress impossible during most of day.
	4	29.12	20.0	19.2		WSW	2	
	6	29.15	25.0	24.5		SW	2	
	8	29.16	26.8	26.2		SE	3	
	10	29.17	26.9	26.6		SE	3-4	
	12	29.18	29.0	27.5		SE x 8	3-4	"77° 02' S., 165° 02' E."
	14	29.18	26.5	26.5		SE x S	4	
	16	29.20	27.0	26.2		SE x S	4	Fine; clear.
	18	29.23	25.0	24.8		SE x S	3	
	20	29.23	24.0	23.5		SSE	3	
	22	29.24	28.5	28.0		SSE	3	
	24	29.25	20.0	20.0		SSE	3	"Max. 30.0° F, Min. 15.0° F. Similar weather."
12	2	29.27	20.0	20.0		SSE	3	
	4	29.27	20.2	20.2		S	2	Fine.
	6	29.24	22.0	21.8		SxW	1	
	8	29.26	21.5	21.3		SW	2	Fine.
	10	29.25	25.0	23.0		S	2	
	12	29.25	24.0	24.0		SSE	2	"76° 59' S, 164° 52' E. Fine; clear. Fast in pack all day."
	14	29.24				SE	3	
	16	29.23	26.8	26.8		SE x E	3	Heavy pressure from S.
	18	29.24	25.0	24.8		W	2	
	20	29.23	23.8	23.6		W	2	Drifting with pack to NW.
	22	29.24	25.0	23.0		Calm		
	24	29.24	24.0	24.0		Calm		"Max. 27.0° F, Min. 19.5° F. Fine; clear."
13	2	29.24	19.5	19.3		W	1	
	4	29.23	15.9	15.9		W	1	
	6	29.23	23.0	22.0		Calm		
	8	29.24	23.5	22.5		W	1	Fine; clear.
	10	29.25	27.0	27.0		W	1	
	12	29.25	27.0	27.0		Calm		"76° 53' S, 163° 40' E. Fine; clear. Fast in thick pack most of day."
	14	29.25	32.0	30.1		Calm		
	16	29.25	28.5	28.5		Calm		Fine; clear.
	18	29.27	33.8	33.0		Calm		
	20	29.26	26.0	25.2		Calm		Hazy.
	22	29.26	22.5	22.0		Calm		
	24	29.27	21.0	20.0		Calm		"Max. 33.5° F, Min. 15.3° F. Similar weather."
14	2	29.27	17.8	18.0		N	1	
	4	29.27	16.5	16.5		N	1	Haze rising from ice. Pressure from pack.
	6	29.25	19.5	19.0		Calm		
	8	29.25	23.0	22.2		Calm		
	10	29.25	25.2	25.0		W	1	
	12	29.25	27.0	26.0		W	1	"76° 48' S, 163° 20' E. Vessel fast in pack all day and drifting slowly towards NW. Pack very close and heavy. Rudder strained by heavy pieces of ice. Cloudless sky."
	14	29.24	37.3	35.2		N	1	
	16	29.20	33.9	32.0		N	1	
	18	29.18	29.9	28.0		NW	2	
	20	29.17	30.8	30.0		NW	2	
	22	29.16	29.3	29.0		Var.	1	
	24	29.16	18.2	18.0		NE	1	"Max. 38.0° F, Min. 15.0° F. Haze rising from ice."
15	2	29.14	20.0	20.0		E	2	Haze rising from ice; lower land obscured.
	4	29.12	18.5	18.5		E	2	Ship drifting N in close pack.
	6	29.13	19.7	19.8		SE	2	Light swell.
	8	29.10	21.8	22.0		SE	2	Fine; clear.
	10	29.10	25.0	25.0		Calm		
	12	29.11	36.0	34.0		Calm		"76° 48' S, 163° 23' E. Fast in very dense pack."
	14	29.11	36.0	35.0		Calm		
	16	29.12	37.0	34.8		Calm		Pack slightly looser.
	20	29.12	28.0	28.0		Calm		16.30; started steaming through dense pack.
	22	29.11	27.3	27.0		Calm		
	24	29.10	25.0	25.0		Calm		"Max 43.0° F, Min. 16.0° F."
16	2	29.10	25.0	25.0		Calm		
	4	29.09	29.1	29.0		Calm		02.07;cleared pack; steaming in open water.
	6	29.11	35.5	33.6		Calm		
	8	29.12	35.0	33.2		Calm		
	10	29.13				Calm		09.10; entered loose pack.
	12	29.14				Calm		"77° 07' S, 166° 00' E. (Long. approx)."
	14	29.14				Calm		Steaming through lanes in pack along shore.
	16	29.14				Calm		
	18	29.15	35.5	34.6				16.15 to 17.15; off shore 1 mile S of Cape Bird. 17.15; left for Cape Royds.
	24	29.16	29.0	28.5		Calm		"Max. 40.0° F, Min. 24.0° F. Fine; clear. In lanes in pack."
17	2	29.19	17.0	17.1		SE	1	00.55; arrived off Cape Royds. Anchored to fast ice.
	4	29.20	15.0	14.9		SE	2	Mirage.
	6	29.19	20.0	19.7		SE	2	Ice drifting to N.
	8	29.19	19.5	19.0		SE	3	
