,"METEOROLOGISCHE BEOBACHTUNGE, ANGESTELLT WAHREND",,,
1831,8,15,1230,83.00
1831,8,15,1800,80.00
1831,8,16,800,77.00
1831,8,16,1230,83.00
1831,8,16,1800,80.00
1831,8,17,800,77.00
1831,8,17,1230,83.00
1831,8,17,1800,79.00
1831,8,18,800,76.00
1831,8,18,1230,83.00
1831,8,18,1800,79.00
1831,8,19,800,77.00
1831,8,19,1230,83.00
1831,8,19,1800,79.00
1831,8,20,800,77.00
1831,8,20,1230,83.00
1831,8,20,1800,80.00
1831,8,21,800,78.00
1831,8,21,1230,83.00
1831,8,21,1800,80.00
1831,8,22,800,78.00
1831,8,22,1230,83.00
1831,8,22,1800,80.00
1831,8,23,800,77.00
1831,8,23,1230,82.00
1831,8,23,1800,78.00
1831,8,24,800,76.00
1831,8,24,1230,82.00
1831,8,24,1800,79.00
1831,8,25,800,78.00
1831,8,25,1230,83.00
1831,8,25,1800,81.00
1831,8,26,800,79.00
1831,8,26,1230,85.00
1831,8,26,1800,81.00
1831,8,27,800,80.00
1831,8,27,1230,84.00
1831,8,27,1800,81.00
1831,8,28,800,79.00
1831,8,28,1230,84.00
1831,8,28,1800,81.00
1831,8,29,800,78.00
1831,8,29,1230,83.00
1831,8,29,1800,79.00
1831,8,30,800,77.00
1831,8,30,1230,83.00
1831,8,30,1800,79.00
1831,8,31,800,77.00
1831,8,31,1230,83.00
1831,8,31,1800,79.00
1831,9,1,800,77.00
1831,9,1,1230,83.00
1831,9,1,1800,78.00
1831,9,2,800,76.00
1831,9,2,1230,83.00
1831,9,2,1800,78.00
1831,9,3,800,76.00
1831,9,3,1230,82.00
1831,9,3,1800,77.00
1831,9,4,800,76.00
1831,9,4,1230,83.00
1831,9,4,1800,78.00
1831,9,5,800,77.00
1831,9,5,1230,83.00
1831,9,5,1800,79.00
1831,9,6,800,77.00
1831,9,6,1230,83.00
1831,9,6,1800,78.00
1831,9,7,800,77.00
1831,9,7,1230,83.00
1831,9,7,1800,80.00
1831,9,8,800,79.00
1831,9,8,1230,83.00
1831,9,8,1800,80.00
1831,9,9,800,78.00
1831,9,9,1230,83.00
1831,9,9,1800,81.00
1831,9,10,800,78.00
1831,9,10,1230,83.00
1831,9,10,1800,81.00
1831,9,11,800,79.00
1831,9,11,1230,83.00
1831,9,11,1800,79.00
1831,9,12,800,77.00
1831,9,12,1230,83.00
1831,9,12,1800,79.00
1831,9,13,800,77.00
1831,9,13,1230,83.00
1831,9,13,1800,79.00
1831,9,14,800,77.00
1831,9,14,1230,83.00
1831,9,14,1800,80.00
1831,9,15,800,78.00
1831,9,15,1230,83.00
1831,9,15,1800,80.00
1831,9,16,800,77.00
1831,9,16,1230,83.00
1831,9,16,1800,78.00
1831,9,17,800,76.00
1831,9,17,1230,83.00
1831,9,17,1800,78.00
1831,9,18,800,76.00
1831,9,18,1230,83.00
1831,9,18,1800,78.00
1831,9,19,800,77.00
1831,9,19,1230,83.00
1831,9,19,1800,79.00
1831,9,20,800,78.00
1831,9,20,1230,82.00
1831,9,20,1800,80.00
1831,9,21,800,77.00
1831,9,21,1230,81.00
1831,9,21,1800,79.00
1831,9,22,800,77.00
1831,9,22,1230,82.00
1831,9,22,1800,79.00
1831,9,23,800,77.00
1831,9,23,1230,82.00
1831,9,23,1800,79.00
1831,9,24,800,78.00
1831,9,24,1230,82.00
1831,9,24,1800,78.00
1831,9,25,800,77.00
1831,9,25,1230,83.00
1831,9,25,1800,78.00
1831,9,26,800,77.00
1831,9,26,1230,82.00
1831,9,26,1800,79.00
1831,9,27,800,77.00
1831,9,27,1230,81.00
1831,9,27,1800,79.00
1831,9,28,800,78.00
1831,9,28,1230,82.00
1831,9,28,1800,79.00
1831,9,29,800,78.00
1831,9,29,1230,82.00
1831,9,29,1800,80.00
1831,9,30,800,77.00
1831,9,30,1230,81.00
1831,9,30,1800,79.00
